Practice Code,NHS Board Cipher,NHS Board Name,All ages,0-4,5-14,15-24,25-44,45-64,65-74,75-84,85+
70022,S,NHS LOTHIAN,3307,182,270,296,1104,858,296,204,97
70037,S,NHS LOTHIAN,3434,157,330,328,1088,875,334,223,99
70075,S,NHS LOTHIAN,9125,463,1199,969,1964,2796,909,568,257
70094,S,NHS LOTHIAN,8142,420,604,706,3137,2193,614,312,156
70107,S,NHS LOTHIAN,6537,147,213,1423,3368,923,257,147,59
70111,S,NHS LOTHIAN,10153,631,1053,1204,2980,2811,736,496,242
70126,S,NHS LOTHIAN,3444,157,277,372,803,975,434,306,120
70131,S,NHS LOTHIAN,11019,611,1267,1357,2452,3055,1231,718,328
70164,S,NHS LOTHIAN,6777,426,739,803,1902,1751,647,359,150
70179,S,NHS LOTHIAN,7712,316,366,877,4383,1194,314,188,74
70198,S,NHS LOTHIAN,2389,168,257,452,764,519,112,83,34
70215,S,NHS LOTHIAN,8866,677,1069,1126,2971,2012,602,346,63
70220,S,NHS LOTHIAN,10912,632,1069,1061,2939,2901,1080,883,347
70234,S,NHS LOTHIAN,7441,420,713,644,2164,2250,682,390,178
70253,S,NHS LOTHIAN,10450,694,1169,1310,3197,2519,911,493,157
70268,S,NHS LOTHIAN,7872,325,320,752,4113,1682,374,213,93
70272,S,NHS LOTHIAN,5288,269,539,794,1505,1261,435,329,156
70291,S,NHS LOTHIAN,5966,327,594,696,1820,1514,548,292,175
70319,S,NHS LOTHIAN,9407,378,505,919,3975,2212,771,456,191
70323,S,NHS LOTHIAN,11971,548,976,1653,4669,2692,777,417,239
70357,S,NHS LOTHIAN,3932,216,265,334,1503,920,317,236,141
70361,S,NHS LOTHIAN,10732,604,1054,1072,2937,2981,909,880,295
70376,S,NHS LOTHIAN,6709,400,662,710,1881,1976,575,357,148
70381,S,NHS LOTHIAN,6014,168,294,1103,2584,1225,346,209,85
70408,S,NHS LOTHIAN,9046,416,644,754,3650,2428,606,392,156
70412,S,NHS LOTHIAN,7784,422,953,727,2256,1907,740,472,307
70427,S,NHS LOTHIAN,7358,374,644,812,1826,2076,801,603,222
70451,S,NHS LOTHIAN,3610,88,159,490,1435,845,300,227,66
70470,S,NHS LOTHIAN,3638,173,353,476,1130,938,282,175,111
70499,S,NHS LOTHIAN,6027,347,360,571,3221,1114,223,140,51
70501,S,NHS LOTHIAN,6565,318,597,488,1950,1727,662,526,297
70516,S,NHS LOTHIAN,6871,469,855,821,2038,1655,563,341,129
70521,S,NHS LOTHIAN,7378,344,446,703,4151,1270,244,168,52
70535,S,NHS LOTHIAN,6775,350,784,631,1434,1944,770,576,286
70569,S,NHS LOTHIAN,6635,386,560,723,2357,1786,441,284,98
70573,S,NHS LOTHIAN,8312,577,908,999,2881,1996,510,342,99
70588,S,NHS LOTHIAN,6810,361,738,876,1956,1857,597,297,128
70592,S,NHS LOTHIAN,22927,140,185,12132,9647,617,158,41,7
70605,S,NHS LOTHIAN,4907,255,550,572,1223,1401,478,318,110
70610,S,NHS LOTHIAN,9508,514,958,1038,2356,2661,926,707,348
70639,S,NHS LOTHIAN,9781,534,1140,967,2646,2851,807,534,302
70643,S,NHS LOTHIAN,3476,185,373,384,953,999,293,187,102
70658,S,NHS LOTHIAN,7419,465,601,750,2664,1813,565,391,170
70662,S,NHS LOTHIAN,12376,997,1548,1668,4184,2749,670,468,92
70677,S,NHS LOTHIAN,7885,449,586,720,3443,1788,472,313,114
70709,S,NHS LOTHIAN,4971,326,627,546,1386,1374,381,237,94
70732,S,NHS LOTHIAN,3589,77,119,880,1677,569,142,72,53
70747,S,NHS LOTHIAN,6209,358,528,672,2274,1566,420,290,101
70766,S,NHS LOTHIAN,2543,47,135,454,1298,428,95,54,32
70785,S,NHS LOTHIAN,10339,515,819,1046,3070,2736,999,814,340
70790,S,NHS LOTHIAN,7457,361,697,705,2308,2001,690,431,264
70841,S,NHS LOTHIAN,5757,176,281,1097,2414,1082,324,247,136
70893,S,NHS LOTHIAN,5367,143,317,872,2041,1145,403,313,133
70906,S,NHS LOTHIAN,3230,186,345,402,985,812,279,157,64
70911,S,NHS LOTHIAN,8605,535,906,1108,2578,2167,786,384,141
70925,S,NHS LOTHIAN,9621,27,112,4427,4376,390,168,112,9
70930,S,NHS LOTHIAN,12660,600,1491,1382,2899,3641,1453,923,271
70959,S,NHS LOTHIAN,1607,94,161,175,550,393,148,66,20
70963,S,NHS LOTHIAN,415,*,*,*,*,*,*,*,*
70978,S,NHS LOTHIAN,6860,520,929,980,2383,1521,345,143,39
70982,S,NHS LOTHIAN,1970,90,114,211,1006,428,76,34,11
70997,S,NHS LOTHIAN,8454,517,526,883,3685,1865,514,334,130
71011,S,NHS LOTHIAN,4792,196,290,667,2243,884,221,192,99
71025,S,NHS LOTHIAN,7058,343,626,682,1996,2090,621,468,232
71082,S,NHS LOTHIAN,10407,481,541,1020,5804,1845,395,232,89
71097,S,NHS LOTHIAN,4794,329,541,583,1356,1200,411,278,96
71114,S,NHS LOTHIAN,9577,513,579,908,4496,2033,604,347,97
71129,S,NHS LOTHIAN,8714,448,1091,768,1758,2390,1152,781,326
71171,S,NHS LOTHIAN,29,*,*,*,*,*,*,*,*
71222,S,NHS LOTHIAN,7332,189,225,1806,4136,728,148,75,25
71326,S,NHS LOTHIAN,9214,478,627,803,3850,2384,641,316,115
71364,S,NHS LOTHIAN,7044,363,465,620,3229,1619,391,253,104
76000,S,NHS LOTHIAN,5725,305,742,599,1353,1762,560,302,102
76029,S,NHS LOTHIAN,5057,207,602,490,978,1437,694,481,168
76033,S,NHS LOTHIAN,9418,494,893,1674,2418,2417,819,494,209
76048,S,NHS LOTHIAN,8671,484,937,1043,2317,2543,691,453,203
76052,S,NHS LOTHIAN,9420,502,999,1043,2099,2906,1155,525,191
76071,S,NHS LOTHIAN,4712,209,510,529,942,1469,577,348,128
76086,S,NHS LOTHIAN,4357,226,577,452,968,1345,457,240,92
76103,S,NHS LOTHIAN,4661,225,527,528,990,1488,481,317,105
76122,S,NHS LOTHIAN,8981,647,917,1117,2458,2445,792,484,121
76137,S,NHS LOTHIAN,7988,295,957,804,1406,2400,1080,681,365
76141,S,NHS LOTHIAN,8638,474,904,1026,2198,2458,836,535,207
76161,S,NHS LOTHIAN,3500,199,433,356,790,1050,391,207,74
76180,S,NHS LOTHIAN,3816,218,608,358,918,1055,336,242,81
76194,S,NHS LOTHIAN,2532,115,283,231,515,781,353,181,73
76211,S,NHS LOTHIAN,3168,178,328,333,767,932,352,206,72
76226,S,NHS LOTHIAN,13908,978,1805,1582,3723,3652,1202,731,235
77036,S,NHS LOTHIAN,5353,382,725,630,1459,1351,515,215,76
77055,S,NHS LOTHIAN,7626,432,921,882,1905,2151,746,432,157
77074,S,NHS LOTHIAN,5159,271,591,569,1226,1469,598,326,109
77089,S,NHS LOTHIAN,2187,159,231,221,552,686,219,106,13
77093,S,NHS LOTHIAN,5224,289,504,528,1366,1521,637,294,85
77106,S,NHS LOTHIAN,14493,1055,1753,1877,3957,3929,1138,628,156
77111,S,NHS LOTHIAN,11522,514,1073,1368,2643,3496,1396,826,206
77125,S,NHS LOTHIAN,4758,254,545,503,1132,1493,521,231,79
77159,S,NHS LOTHIAN,8238,527,1041,1041,2148,2156,739,407,179
77197,S,NHS LOTHIAN,10704,707,1138,1170,2812,2882,1094,654,247
77200,S,NHS LOTHIAN,3052,166,355,371,761,897,275,181,46
77271,S,NHS LOTHIAN,8473,484,990,974,2060,2431,918,478,138
77286,S,NHS LOTHIAN,4707,247,504,551,1106,1350,549,312,88
78010,S,NHS LOTHIAN,9434,583,1266,1301,2710,2567,695,252,60
78024,S,NHS LOTHIAN,11092,515,1200,1403,2772,3578,1044,471,109
78043,S,NHS LOTHIAN,4874,279,563,586,1323,1348,464,256,55
78062,S,NHS LOTHIAN,5990,392,730,680,1678,1635,525,250,100
78077,S,NHS LOTHIAN,7791,487,924,832,2293,2071,688,396,100
78109,S,NHS LOTHIAN,3082,157,284,357,738,942,373,178,53
78113,S,NHS LOTHIAN,6616,371,718,740,1840,1753,656,431,107
78128,S,NHS LOTHIAN,8158,530,941,875,2407,2197,667,409,132
78132,S,NHS LOTHIAN,8219,644,1033,963,2645,2059,465,323,87
78147,S,NHS LOTHIAN,9086,423,1096,1139,2262,2749,818,467,132
78151,S,NHS LOTHIAN,4721,412,601,516,1340,1197,421,191,43
78166,S,NHS LOTHIAN,14133,719,1762,1551,3443,4353,1373,683,249
78171,S,NHS LOTHIAN,10872,676,1278,1142,2976,3134,1035,498,133
78185,S,NHS LOTHIAN,2386,160,254,258,663,682,221,118,30
78190,S,NHS LOTHIAN,11570,693,1300,1438,2922,3172,1182,691,172
78241,S,NHS LOTHIAN,13243,920,1612,1392,3830,3419,1208,654,208
78255,S,NHS LOTHIAN,12360,758,1622,1597,3710,3172,996,422,83
78260,S,NHS LOTHIAN,10527,497,1234,1501,2820,3132,846,353,144
78306,S,NHS LOTHIAN,7590,350,735,878,1911,2292,856,427,141
78311,S,NHS LOTHIAN,8560,480,1048,1130,2609,2157,718,343,75
78325,S,NHS LOTHIAN,11552,794,1555,1369,3712,2929,814,301,78
78330,S,NHS LOTHIAN,6675,379,777,812,1786,1840,628,377,76
78344,S,NHS LOTHIAN,4549,280,795,481,1249,1248,287,133,76
78359,S,NHS LOTHIAN,2559,139,261,274,654,757,279,166,29
78378,S,NHS LOTHIAN,2124,77,241,215,531,664,260,97,39
